delayWeeks,completionPace,averageScore,loginFrequency,gapDepth,recencyRatio,weakSkillRatio,avgFocusScore,hasAttentionData,caughtUp,examGrade
6.381,1.586,42.889,0.619,0.107,0.991,0.841,0,0,0,9
1.016,2.149,24.568,12.27,0.472,0.493,0.373,0,0,0,9
4.566,1.933,4.739,8.199,0.726,0.559,0.975,46.8,1,0,5.75
2.883,0.167,21.096,13.09,0.268,0.031,0.081,41.528,1,0,8.5
3.306,0.499,28.381,9.159,0.791,0.152,0.312,78.166,1,1,6.5
8.273,3.001,22.175,3.38,0.148,0.663,0.431,77.095,1,1,8.5
10.853,1.722,6.302,7.387,0.662,0.427,0.389,50.523,1,0,6.25
10.908,4.067,34.861,5.904,0.439,0.682,0.261,0,0,0,7.75
2.155,0.13,74.954,1.941,0.842,0.713,0.228,0,0,0,11
8.6,4.433,95.924,9.629,0.337,0.759,0.309,63.91,1,1,15.5
3.922,0.925,59.808,9.433,0.627,0.686,0.403,0,0,0,9.75
2.996,3.805,82.615,7.795,0.22,0.539,0.91,0,0,1,14.75
11.429,3.046,98.411,12.121,0.586,0.215,0.216,98.847,1,1,13
6.409,2.544,63.368,3.608,0.191,0.263,0.012,0,0,0,11.25
10.278,4.4,58.271,7.819,0.43,0.298,0.223,39.544,1,0,12.25
6.119,2.717,2.426,3.514,0.22,0.104,0.314,0,0,0,6.25
1.661,3.715,17.045,5.845,0.113,0.061,0.582,83.264,1,0,8
1.469,3.145,6.666,10.39,0.763,0.7,0.656,0,0,1,7
10.534,3.21,48.867,9.356,0.45,0.031,0.985,68.408,1,1,8.75
11.69,0.435,26.564,13.605,0.288,0.656,0.931,0,0,0,8.5
3.727,4.257,48.218,7.025,0.712,0.501,0.141,0,0,1,10.25
2.644,0.551,22.561,2.681,0.701,0.374,0.845,0,0,0,5.75
6.513,3.25,58.447,4.037,0.689,0.354,0.739,11.191,1,0,8.75
9.652,2.679,25.849,11.406,0.766,0.747,0.385,0,0,0,9
7.457,1.731,8.947,1.104,0.442,0.815,0.327,0,0,0,8.25
5.98,4.612,20.998,12.729,0.05,0.012,0.482,0,0,1,7.25
7.786,2.663,94.894,8.707,0.536,0.101,0.414,0,0,1,13.5
7.768,0.244,84.413,7.024,0.407,0.234,0.525,49.651,1,0,12.5
8.428,2.601,98.056,0.793,0.949,0.088,0.749,41.912,1,0,10.75
9.146,3.778,95.606,7.047,0.057,0.618,0.123,26.973,1,1,12.75
11.408,0.286,28.18,13.146,0.192,0.013,0.396,0,0,0,6.75
6.573,0.638,85.498,12.458,0.994,0.532,0.231,0,0,1,14
4.886,3.921,93.224,3.787,0.114,0.977,0.609,0,0,1,16.75
2.979,1.585,14.884,4.379,0.803,0.186,0.855,71.796,1,0,5.25
9.421,4.488,63.74,3.987,0.313,0.964,0.342,0,0,1,13.75
4.402,4.953,56.804,12.099,0.794,0.791,0.095,3.97,1,1,12.5
3.428,0.155,82.647,4.224,0.337,0.514,0.687,0,0,0,12.25
9.589,2.528,26.097,11.947,0.014,0.117,0.789,0,0,0,6.5
9.848,2.327,61.835,5.597,0.251,0.151,0.975,0,0,0,7.5
2.922,0.963,22.114,10.3,0.161,0.513,0.22,0,0,1,10
10.593,3.297,40.843,13.844,0.83,0.194,0.431,0,0,0,9.5
3.864,0.512,52.909,11.682,0.704,0.453,0.612,0,0,0,8.75
4.649,4.275,12.353,3.171,0.24,0.846,0.838,0,0,1,9.25
7.312,0.705,35.496,8.012,0.265,0.326,0.815,4.985,1,0,6.75
9.723,4.676,80.943,8.965,0.377,0.108,0.418,0,0,0,12
8.777,4.871,2.939,13.798,0.953,0.236,0.444,47.696,1,0,7.5
6.196,0.48,29.447,13.618,0.465,0.944,0.697,0,0,0,9.25
3.139,2.328,4.491,2.632,0.956,0.798,0.511,96.111,1,1,6.75
8.308,4.597,33.095,3.511,0.724,0.292,0.396,0,0,0,7
6.187,2.445,38.956,10.464,0.554,0.597,0.372,0,0,1,11
4.363,4.815,34.139,5.32,0.497,0.048,0.854,0,0,0,6.75
4.483,3.087,33.333,11.184,0.677,0.178,0.854,20.898,1,0,8
3.397,3.535,24.137,1.631,0.508,0.35,0.411,86.813,1,0,10
1.661,3.47,11.719,10.484,0.49,0.237,0.554,0,0,0,7
4.28,0.309,70.781,8.537,0.863,0.084,0.029,0,0,1,12
8.735,3.337,44.977,10.868,0.063,0.363,0.83,0,0,0,8
10.39,2.245,59.427,0.639,0.008,0.79,0.281,0,0,1,9.5
4.316,4.805,3.187,11.962,0.464,0.422,0.888,32.341,1,0,7.75
8.139,3.751,78.36,7.899,0.005,0.069,0.077,76.026,1,0,13.75
7.063,2.728,84.747,4.985,0.733,0.96,0.497,0,0,1,15
1.054,1.579,7.877,10.922,0.257,0.784,0.972,0,0,0,7.25
0.913,0.328,27.12,12.007,0.621,0.632,0.661,0,0,0,9.75
4.111,4.844,46.908,2.019,0.894,0.968,0.015,72.317,1,1,13
3.079,1.429,94.46,7.756,0.874,0.113,0.721,0,0,0,13
11.237,4.546,86.269,9.266,0.387,0.156,0.419,69.924,1,1,11.75
11.228,4.647,99.752,4.939,0.474,0.202,0.236,0,0,0,14
5.534,2.187,46.785,8.442,0.711,0.952,0.959,85.922,1,0,9.5
3.765,3.134,39.306,12.727,0.295,0.803,0.211,0,0,1,12.75
8.519,0.278,21.143,11.622,0.006,0.342,0.282,46.261,1,0,7.25
6.381,2.53,28.027,2.092,0.012,0.781,0.88,0,0,0,7.25
10.297,2.582,9.704,7.323,0.804,0.564,0.915,84.641,1,0,6.25
7.264,1.165,29.144,0.36,0.458,0.022,0.838,71.209,1,0,5.25
8.812,4.082,95.074,0.285,0.884,0.572,0.081,0,0,1,14.75
8.226,0.213,52.943,0.292,0.219,0.596,0.793,52.466,1,0,9.75
11.692,3.786,53.008,1.931,0.04,0.726,0.444,0,0,1,11.75
10.517,2.744,66.794,9.582,0.014,0.605,0.409,0,0,1,10.25
11.698,3.9,43.613,11.672,0.149,0.632,0.941,0,0,1,8.5
5.086,0.055,41.645,0.688,0.026,0.855,0.176,0,0,0,10.25
1.523,1.586,12.08,1.057,0.957,0.692,0.26,49.835,1,0,6.5
1.252,1.462,94.997,7.752,0.975,0.486,0.848,0,0,0,13.75
0.083,2.683,33.103,4.509,0.683,0.504,0.203,0,0,1,10
3.561,2.785,56.093,0.316,0.679,0.357,0.186,82.253,1,1,12.25
1.119,3.215,92.4,0.773,0.122,0.087,0.839,69.738,1,1,12
1.412,4.328,40.695,9.766,0.083,0.21,0.896,34.671,1,1,10.25
10.447,1.911,68.712,5.164,0.71,0.6,0.839,0,0,1,9.5
9.318,0.763,59.136,1.11,0.184,0.347,0.232,0,0,0,9.75
0.571,1.04,67.762,6.12,0.196,0.69,0.105,72.762,1,1,12.75
6.291,0.771,22.074,2.97,0.962,0.023,0.932,0,0,0,5.5
1.378,2.339,25.431,13.756,0.96,0.344,0.196,0,0,1,8
11.371,0.464,38.704,12.7,0.676,0.053,0.371,68.396,1,1,6.5
2.393,0.863,62.545,4.758,0.83,0.699,0.17,76.263,1,0,12.75
4.579,1.992,42.299,8.783,0.764,0.694,0.626,41.778,1,1,9.5
0.64,0.221,54.917,13.154,0.525,0.954,0.819,57.347,1,1,12.5
3.771,1.158,43.411,10.817,0.164,0.355,0.839,0,0,0,8.5
2.931,1.736,44.737,7.827,0.02,0.871,0.968,0,0,1,9.5
3.347,3.609,97.547,2.334,0.437,0.97,0.554,0,0,1,16.25
3.147,1.939,74.799,5.826,0.976,0.456,0.537,0,0,1,11.75
1.787,0.827,37.664,13.882,0.809,0.833,0.443,85.711,1,1,10
11.937,0.933,99.368,7.548,0.026,0.275,0.047,0,0,1,13.5
3.959,4.795,75.888,1.924,0.32,0.242,0.127,61.042,1,1,13.75
9.012,4.434,98.982,7.845,0.745,0.768,0.983,0,0,1,15
3.346,3.113,96.957,9.739,0.179,0.878,0.227,0,0,1,17.75
2.431,3.298,50.963,0.636,0.557,0.86,0.058,0,0,1,13.5
7.471,2.323,99.199,12.22,0.532,0.999,0.817,0,0,1,13.25
3.294,1.434,72.331,0.02,0.645,0.615,0.306,0,0,1,12
9.631,4.991,54.695,0.294,0.986,0.949,0.136,0,0,1,10.25
5.652,3.086,7.913,9.768,0.788,0.212,0.503,16.317,1,0,4.5
3.881,3.241,94.656,1.011,0.842,0.772,0.62,0,0,1,14.5
8.031,2.803,92.207,12.11,0.991,0.081,0.858,82.457,1,0,13.25
10.018,0.516,43.877,10.947,0.178,0.215,0.615,45.009,1,1,8.75
5.085,4.43,27.161,6.202,0.545,0.233,0.144,0,0,0,7.75
8.977,3.775,65.961,13.703,0.507,0.696,0.188,79.028,1,1,14
1.584,2.944,87.517,10.71,0.668,0.075,0.078,0,0,1,12.25
2.788,4.288,0.97,1.782,0.793,0.087,0.448,29.071,1,1,5
4.473,2.451,37.699,2.899,0.728,0.576,0.542,0,0,0,8
1.51,3.65,10.612,5.243,0.934,0.774,0.627,0,0,0,9.25
0.055,3.301,76.626,3.822,0.898,0.796,0.798,23.456,1,0,12.5
0.878,1.641,74.518,11.271,0.741,0.723,0.902,0,0,1,12
11.764,0.139,27.076,6.951,0.174,0.469,0.717,45.628,1,0,8
6.732,2.82,87.051,1.666,0.214,0.109,0.926,0,0,1,10.25
3.42,2.296,5.863,12.968,0.131,0.178,0.551,0,0,0,7
0.556,1.509,97.03,5.447,0.37,0.354,0.393,0.416,1,0,13.5
8.427,3.556,54.528,2.477,0.135,0.889,0.669,0,0,1,12.5
2.178,2.875,16.813,6.803,0.854,0.189,0.483,39.576,1,0,7.5
3.436,3.669,80.69,3.953,0.052,0.202,0.555,63.379,1,0,13.75
1.985,2.95,93.693,5.223,0.828,0.574,0.026,0,0,1,16.25
10.904,2.934,1.261,7.54,0.3,0.758,0.237,0,0,1,5.5
3.878,4.56,66.962,12.96,0.917,0.343,0.042,0,0,1,14.25
6.424,4.802,78.655,9.927,0.842,0.383,0.139,68.657,1,1,14.5
10.57,1.61,46.762,0.985,0.271,0.389,0.596,0,0,0,10
3.314,3.454,35.005,12.587,0.493,0.104,0.633,0,0,1,9
6.895,0.066,84.275,11.403,0.603,0.182,0.886,34.826,1,1,9
0.129,2.019,28.943,10.821,0.41,0.188,0.358,29.645,1,1,8
9.958,1.027,58.273,6.067,0.646,0.809,0.888,53.425,1,0,10
5.688,2.414,51.128,11.002,0.49,0.454,0.959,49.928,1,1,8.25
10.542,3.081,85.214,9.663,0.392,0.769,0.674,0,0,1,14
4.885,0.8,18.622,0.28,0.066,0.9,0.792,84.625,1,1,8.75
3.879,3.737,47.062,0.077,0.66,0.505,0.575,0,0,0,9.75
8.869,3.486,98.877,3.821,0.007,0.142,0.607,99.321,1,1,15.75
1.905,4.921,27.987,13.477,0.819,0.111,0.566,43.619,1,1,9.75
2.596,4.503,18.697,9.135,0.267,0.216,0.533,0,0,1,7.75
9.681,2.009,55.171,1.394,0.847,0.021,0.525,0,0,0,7
9.912,3.474,45.494,1.441,0.437,0.086,0.519,0,0,0,8.75
0.95,2.813,23.99,13.894,0.733,0.683,0.554,0,0,0,7.5
11.731,1.186,25.74,9.907,0.613,0.586,0.28,0,0,0,8
7.569,4.823,84.253,2.635,0.928,0.573,0.805,0,0,0,13.5
4.989,3.894,91.668,8.478,0.347,0.394,0.124,0,0,1,14
3.998,1.317,67.004,2.407,0.343,0.465,0.822,66.069,1,1,11.5
2.846,2.757,55.811,1.759,0.659,0.531,0.544,48.078,1,1,10.25
0.618,1.226,3.244,6.795,0.031,0.567,0.232,0,0,0,7.25
0.537,3.212,4.439,3.105,0.306,0.692,0.266,0,0,0,6.5
7.574,3.285,11.769,2.823,0.349,0.851,0.467,65.625,1,0,8.75
9.728,2.114,75.362,10.631,0.384,0.627,0.12,0,0,1,11
7.38,2.139,26.69,12.304,0.321,0.634,0.039,76.314,1,0,10
2.903,3.584,80.316,12.497,0.884,0.766,0.291,81.161,1,1,14.25
4.484,1.577,53.401,1.343,0.349,0.238,0.238,55.822,1,0,11.5
6.106,1.795,58.381,9.122,0.821,0.612,0.928,0,0,0,8.25
11.716,2.817,85.568,11.239,0.425,0.904,0.091,0,0,1,16
4.551,0.586,84.402,5.481,0.632,0.716,0.963,60.203,1,1,10.5
7.398,3.971,82.049,11.399,0.692,0.666,0.829,0,0,0,11.75
6.565,1.548,91.197,8.814,0.115,0.92,0.495,37.639,1,1,15.25
1.667,4.532,43.119,2.606,0.09,0.787,0.238,0,0,1,12
1.209,2.442,69.764,9.856,0.949,0.552,0.149,0,0,1,14.25
11.083,0.742,54.337,12.394,0.272,0.669,0.31,0,0,1,11.25
11.797,1.684,60.59,3.349,0.212,0.86,0.644,0,0,0,11.75
10.803,4.278,78.821,11.003,0.312,0.62,0.499,0,0,1,14.25
11.083,1.315,67.236,5.97,0.361,0.181,0.444,67.652,1,0,11
0.264,2.858,94.02,5.474,0.639,0.033,0.226,0,0,0,13.25
4.625,2.978,13.54,11.543,0.451,0.473,0.77,29.729,1,0,6
6.738,1.365,68.824,13.568,0.549,0.146,0.32,1.497,1,1,10.75
3.782,3.41,85.016,2.114,0.297,0.981,0.187,73.298,1,1,16.75
8.618,0.952,21.807,12.517,0.671,0.353,0.145,0,0,0,6.75
0.924,0.606,69.353,2.365,0.196,0.092,0.739,0,0,0,11.25
6.352,3.543,26.123,3.357,0.071,0.194,0.958,0,0,0,8.5
9.925,1.719,78.775,11.18,0.074,0.275,0.7,70.799,1,0,12
1.547,0.58,7.653,4.814,0.744,0.412,0.289,81.085,1,0,5.75
4.438,3.406,32.151,11.541,0.049,0.551,0.072,0,0,0,11.25
4.664,2.276,18.067,4.58,0.858,0.924,0.273,87.34,1,0,10
9.139,2.602,58.29,2.294,0.427,0.446,0.712,0,0,0,8.75
5.016,4.084,3.372,3.313,0.382,0.995,0.075,0,0,1,7.25
4.588,1.957,50.664,12.369,0.72,0.792,0.124,0,0,1,10
1.889,1.123,52.009,11.616,0.323,0.611,0.79,0,0,0,9.25
10.913,1.717,38.361,7.825,0.484,0.963,0.237,99.649,1,1,10.75
0.091,0.342,86.65,7.092,0.701,0.057,0.906,0,0,1,11
0.247,2.206,31.099,11.986,0.754,0.317,0.481,0,0,0,8.75
11.364,1.484,50.319,11.519,0.678,0.68,0.591,0,0,0,8
3.049,0.733,12.372,1.535,0.713,0.613,0.81,0,0,0,6.75
5.17,3.564,79.227,4.57,0.85,0.342,0.695,0,0,1,10.5
5.539,0.461,11.295,3.225,0.989,0.631,0.766,0,0,0,6.25
3.808,1.112,0.998,12.768,0.012,0.26,0.359,0,0,1,5.75
1.757,1.164,17.109,3.224,0.597,0.541,0.271,0,0,0,8.25
6.759,0.209,91.09,13.59,0.209,0.252,0.393,95.573,1,1,13.75
7.802,0.533,45.84,1.161,0.601,0.001,0.646,0,0,0,5
10.691,4.809,78.662,7.717,0.575,0.712,0.188,0,0,1,12
1.507,2.977,17.634,13.48,0.941,0.453,0.285,0,0,0,7.5
4.384,3.159,87.078,4.01,0.754,0.35,0.667,45.325,1,1,14
9.821,0.789,5.521,0.388,0.353,0.736,0.52,23.489,1,0,4.75
11.897,3.177,23.973,0.108,0.646,0.717,0.527,40.078,1,0,8.25
0.409,0.357,12.817,2.108,0.081,0.901,0.255,0,0,1,8.25
5.451,3.598,17.494,7.783,0.949,0.209,0.545,0,0,0,5.5
3.813,4.412,47.855,9.237,0.196,0.736,0.05,0,0,1,11.75
4.494,1.424,53.933,5.835,0.66,0.018,0.537,35.782,1,0,7.25
5.004,2.081,15.81,0.691,0.589,0.438,0.941,0,0,0,7.5
11.012,4.183,43.189,13.829,0.394,0.465,0.724,0,0,1,10.25
4.983,3.066,60.977,7.903,0.076,0.387,0.72,29.052,1,0,11.5
0.589,2.149,20.343,0.015,0.39,0.916,0.588,0,0,0,9.25
1.608,3.135,87.416,0.106,0.099,0.525,0.903,0,0,1,12.75
4.505,4.309,82.981,4.39,0.026,0.571,0.387,0,0,1,14
8.173,0.279,58.317,0.38,0.997,0.914,0.506,84.953,1,0,11.5
6.972,3.512,78.666,4.603,0.427,0.465,0.971,53.309,1,0,11
0.051,3.287,85.12,9.262,0.664,0.498,0.902,19.666,1,1,12.5
1.185,3.609,34.442,0.494,0.711,0.658,0.607,0,0,1,9.25
4.409,4.02,97.745,0.809,0.426,0.686,0.486,42.841,1,1,15.75
7.382,2.611,25.315,0.508,0.829,0.274,0.339,57.384,1,0,6.25
8.227,1.201,54.161,8.047,0.157,0.935,0.071,31.88,1,1,11.75
9.106,3.798,26.663,11.92,0.629,0.599,0.408,46.765,1,0,7.75
11.547,3.15,6.241,1.532,0.645,0.116,0.848,0,0,0,3.75
5.158,1.094,33.107,2.489,0.635,0.514,0.57,0,0,0,9.25
0.684,2.729,94.481,13.826,0.823,0.68,0.59,55.697,1,1,16
2.992,1.267,7.89,0.53,0.988,0.66,0.887,72.047,1,0,7.75
8.691,2.91,91.738,12.611,0.144,0.281,0.525,0,0,1,13.75
3.37,1.327,61.68,10.637,0.981,0.773,0.248,0,0,0,11.5
7.288,1.403,12.902,3.917,0.057,0.743,0.741,54.822,1,0,7.25
8.669,2.611,84.211,10.099,0.357,0.302,0.947,0,0,1,11.75
0.95,1.625,97.343,4.178,0.133,0.63,0.228,0,0,1,14
9.292,4.887,26.542,6.677,0.48,0.744,0.005,97.446,1,1,9.5
8.609,4.525,41.254,11.561,0.024,0.07,0.288,0,0,1,8.25
1.026,1.783,66.238,4.734,0.089,0.036,0.013,0,0,1,12
4.356,4.318,88.744,13.593,0.295,0.443,0.201,45.887,1,1,16.25
4.548,0.749,49.679,9.468,0.175,0.306,0.266,0,0,0,10.5
1.011,4.102,9.696,6.37,0.594,0.987,0.767,45.459,1,1,9.5
4.302,4.562,89.745,0.837,0.732,0.786,0.639,0,0,1,14.75
5.173,0.06,44.026,1.421,0.664,0.705,0.571,0,0,0,7.75
3.653,4.616,4.939,5.549,0.33,0.177,0.998,0,0,0,5
3.905,0.845,66.116,8.36,0.364,0.717,0.565,19.02,1,1,9.5
0.52,2.694,91.481,6.031,0.439,0.567,0.491,0,0,1,13.5
5.441,0.97,59.158,3.278,0.851,0.349,0.072,0,0,1,10
4.893,0.422,99.256,1.157,0.125,0.481,0.777,0,0,1,13.25
9.032,1.64,89.798,5.338,0.246,0.189,0.191,0,0,0,11
1.38,2.881,5.801,13.555,0.123,0.991,0.521,0,0,1,9.5
2.059,1.759,14.713,2.275,0.732,0.157,0.615,63.987,1,0,5
10.835,4.969,83.975,2.921,0.812,0.266,0.108,0,0,1,13
10.456,0.927,56.881,8.24,0.542,0.951,0.073,35.315,1,0,11
7.321,4.593,78.739,8.974,0.662,0.938,0.339,0,0,1,13
0.281,3.753,22.403,0.979,0.409,0.477,0.817,0,0,1,8
9.31,0.122,36.076,2.062,0.535,0.135,0.491,0,0,0,4.75
1.368,2.545,46.433,8.023,0.762,0.607,0.929,0,0,1,11
6.354,3.818,54.929,13.525,0.812,0.971,0.704,0,0,1,11.75
10.818,4.706,49.027,9.897,0.699,0.445,0.938,0,0,1,9.75
5.904,3.985,31.069,0.933,0.048,0.381,0.797,0,0,0,7
0.867,4.361,33.272,10.882,0.188,0.735,0.404,0,0,1,10
5.474,2.072,77.297,4.813,0.94,0.994,0.997,0,0,0,13.75
6.261,2.119,83.768,6.087,0.501,0.234,0.36,0,0,0,11.75
2.063,3.735,83.674,8.074,0.461,0.891,0.303,0,0,1,17
6.288,3.964,72.042,8.57,0.707,0.537,0.145,0,0,1,13.25
2.499,4.63,49.046,6.49,0.432,0.344,0.854,35.601,1,0,8.25
3.476,4.396,24.191,7.963,0.316,0.495,0.493,96.062,1,1,9.5
10.137,2.198,62.141,12.923,0.944,0.3,0.173,2.098,1,1,8.25
0.585,1.776,43.095,2.912,0.975,0.771,0.193,15.891,1,0,10.5
4.018,3.672,25.006,4.669,0.148,0.945,0.995,0,0,1,10
5.545,3.168,30.573,4.049,0.935,0.81,0.601,0,0,1,9.25
10.992,4.804,66.489,3.663,0.675,0.369,0.755,0,0,1,11.25
4.698,1.555,24.819,4.841,0.068,0.629,0.571,57.783,1,0,8.75
3.255,3.153,45.548,3.363,0.282,0.946,0.43,78.458,1,1,12
8.522,1.775,41.508,10.671,0.276,0.596,0.41,20.181,1,0,10.25
4.467,2.797,55.257,7.464,0.643,0.012,0.502,0,0,0,9.25
8.542,3.038,88.837,1.889,0.069,0.824,0.253,9.45,1,1,12.25
8.723,1.062,39.441,6.848,0.782,0.42,0.532,43.404,1,0,9.5
7.607,0.457,52.641,10.741,0.254,0.163,0.992,0,0,0,6.5
10.001,0.914,10.45,3.329,0.316,0.093,0.267,0,0,0,4.25
0.81,0.039,60.525,0.71,0.769,0.034,0.255,91.587,1,0,11.5
9.398,0.194,7.537,2.493,0.49,0.943,0.639,0,0,0,4.5
3.664,2.902,62.997,9.071,0.535,0.906,0.14,0,0,1,13.5
10.59,0.637,29.953,1.425,0.598,0.015,0.93,0,0,0,3.25
3.388,2.22,99.883,6.415,0.947,0.156,0.828,0,0,1,14.25
1.03,4.657,36.203,6.134,0.664,0.61,0.701,0,0,1,10.5
5.268,3.308,6.63,1.039,0.058,0.576,0.641,0,0,0,7.75
10.568,4.122,5.783,8.895,0.858,0.094,0.039,8.576,1,0,6.75
2.842,2.769,46.427,6.3,0.433,0.258,0.625,88.38,1,0,9.5
4.93,2.886,90.105,0.102,0.689,0.537,0.322,0,0,1,12.5
3.645,3.298,25.732,1.132,0.034,0.984,0.237,0,0,1,12
11.969,3.582,49.749,3.035,0.141,0.222,0.25,35.319,1,1,7.75
0.175,1.788,76.026,9.727,0.541,0.453,0.062,33.727,1,1,12.75
4.919,0.312,68.662,4.433,0.926,0.522,0.386,0,0,0,9
5.486,0.273,8.708,3.045,0.632,0.394,0.639,84.307,1,0,6.75
11.537,3.542,17.437,4.374,0.168,0.755,0.788,0,0,0,7
3.451,3.753,38.872,0.958,0.33,0.384,0.593,95.611,1,1,9
5.007,4.743,5.769,8.128,0.112,0.768,0.544,90.936,1,1,10.25
7.852,4.743,31.47,5.881,0.918,0.669,0.346,49.47,1,0,9
11.797,2.432,9.397,0.176,0.232,0.676,0.826,24.964,1,0,6.75
5.151,4.854,74.423,8.509,0.158,0.562,0.471,53.811,1,1,12.75
0.886,0.475,42.649,5.457,0.361,0.451,0.519,0,0,0,10.75
1.124,1.204,39.007,9.654,0.279,0.902,0.609,0,0,0,9.75
8.58,0.794,64.405,13.558,0.631,0.85,0.383,27.247,1,0,9.25
2.109,2.275,36.023,10.068,0.759,0.569,0.059,52.644,1,0,10.75
0.486,0.963,45.951,10.248,0.528,0.676,0.848,0,0,0,11.5
7.21,2.035,61.402,4.256,0.325,0.472,0.088,0,0,1,10
7.547,0.656,73.502,7.461,0.724,0.388,0.834,57.266,1,0,11.25
7.394,0.756,66.316,0.1,0.189,0.083,0.539,31.567,1,0,10.5
1.479,3.981,39.857,6.983,0.286,0.244,0.013,0,0,1,10
3.771,4.571,39.404,12.188,0.132,0.476,0.272,0,0,1,11.5
0.892,4.362,72.84,5.597,0.912,0.09,0.495,0,0,1,11.25
10.243,0.61,78.954,3.952,0.478,0.509,0.23,73.08,1,0,13.5
10.629,3.321,32.105,8.331,0.664,0.529,0.638,0,0,1,9.25
2.701,2.78,76.848,7.496,0.102,0.516,0.234,28.276,1,1,12.5
10.517,3.758,69.797,1.465,0.82,0.4,0.631,0,0,0,9.5
2.435,0.977,10.968,8.358,0.347,0.971,0.476,0,0,1,7
4.496,1.421,60.52,4.921,0.492,0.058,0.657,0,0,0,9.25
2.726,1.082,9.545,2.355,0.86,0.007,0.551,0,0,0,5.75
5.156,1.092,1.325,0.976,0.533,0.856,0.048,0,0,0,6.5
11.187,2.16,6.559,7.082,0.794,0.524,0.015,10.239,1,0,4
1.173,0.423,34.315,7.706,0.529,0.002,0.176,43.439,1,1,9
0.258,2.775,61.943,7.43,0.87,0.744,0.431,0,0,1,12
5.538,1.231,42.778,11.117,0.952,0.905,0.006,89.342,1,1,11.75
8.298,4.546,94.157,11.349,0.356,0.854,0.552,0,0,1,16
11.947,1.069,8.332,13.43,0.343,0.444,0.046,0,0,0,5.25
6.937,0.696,67.555,2.378,0.27,0.333,0.567,32.373,1,0,10.25
2.02,0.881,63.12,1.952,0.204,0.105,0.326,0,0,0,10.5
8.733,4.426,73.06,5.785,0.58,0.866,0.244,0,0,1,13.75
3.572,4.106,16.568,6.044,0.526,0.658,0.842,0,0,1,6.75
0.303,2.544,68.437,9.09,0.383,0.358,0.669,76.691,1,1,12.5
9.759,3.244,58.946,12.2,0.664,0.884,0.13,0,0,1,11.25
9.422,0.546,6.892,3.485,0.196,0.022,0.049,76.821,1,0,5.75
6.278,2.786,17.511,4.644,0.356,0.389,0.332,0,0,0,7
0.701,0.172,34.484,13.376,0.561,0.899,0.115,0,0,1,10.75
7.633,4.47,99.993,2.775,0.879,0.633,0.923,0,0,0,13.75
6.739,4.529,67.222,11.472,0.678,0.909,0.501,0,0,1,13
1.308,0.814,66.424,8.399,0.492,0.14,0.402,0,0,0,9.25
0.273,2.991,79.33,8.861,0.717,0.404,0.99,0,0,0,13.5
10.084,2.111,8.694,1.119,0.302,0.938,0.339,0,0,1,6.25
10.994,0.832,10.606,4.158,0.654,0.894,0.396,7.609,1,0,4
3.985,4.878,24.07,6.844,0.571,0.935,0.779,0,0,1,8
10.805,1.149,91.21,4.147,0.095,0.596,0.61,0,0,0,14
1.951,0.129,75.733,6.525,0.899,0.107,0.668,0,0,1,10.75
11.451,2.755,49.862,6.774,0.078,0.651,0.443,0,0,0,10.75
3.489,4.965,86.011,2.73,0.381,0.898,0.939,4.903,1,1,13.5
10.317,3.769,37.348,4.374,0.138,0.039,0.744,49.106,1,0,6.5
10.723,2.473,53.92,3.014,0.864,0.009,0.447,0,0,0,6.25
11.999,0.73,2.463,11.691,0.79,0.425,0.664,0,0,0,5.25
5.648,4.873,22.638,5.096,0.163,0.554,0.257,51.947,1,1,10.25
1.212,3.733,91.56,13.78,0.813,0.202,0.669,0,0,0,15
5.426,3.051,78.051,2.486,0.363,0.437,0.366,0,0,0,11.5
4.495,0.085,57.57,7.061,0.968,0.834,0.271,0,0,1,10.5
7.918,2.126,62.032,1.716,0.095,0.422,0.048,0,0,1,10.75
0.179,4.174,3.508,2.815,0.784,0.511,0.674,98.018,1,0,7.5
5.056,0.342,51.71,9.725,0.769,0.7,0.084,0,0,0,12
1.728,1.209,22.746,1.592,0.784,0.375,0.922,0,0,0,7.75
11.82,1.218,41.636,2.242,0.029,0.892,0.238,0,0,0,9.5
7.922,1.139,57.962,6.955,0.559,0.053,0.062,0,0,0,10.25
0.882,0.174,56.232,12.264,0.014,0.971,0.438,2.766,1,1,10.5
9.364,4.68,31.04,11.958,0.288,0.59,0.648,0,0,0,8
10.489,0.782,61.473,8.794,0.191,0.503,0.061,0,0,1,10.25
8.096,4.499,10.175,6.503,0.745,0.354,0.704,12.918,1,0,7.5
2.019,1.17,59.834,5.764,0.634,0.703,0.46,56.237,1,0,12.5
4.137,0.133,93.843,12.571,0.478,0.45,0.012,0,0,1,13.5
10.009,4.194,8.13,8.704,0.171,0.958,0.745,0,0,1,7.5
6.033,0.106,27.028,9.931,0.274,0.356,0.723,0,0,0,5.5
1.386,3.642,36.589,9.384,0.01,0.057,0.27,29.72,1,1,11.25
9.749,4.53,19.567,8.849,0.748,0.858,0.827,70.247,1,0,9.75
11.185,3.457,25.118,2.099,0.152,0.769,0.762,0,0,1,8.5
3.19,1.417,94.885,13.065,0.088,0.459,0.342,0,0,1,15.75
0.979,0.488,93.931,5.369,0.972,0.308,0.323,0,0,0,14
4.964,3.378,5.707,8.075,0.577,0.749,0.38,0,0,0,7.25
6.761,3.902,77.333,3.261,0.57,0.374,0.457,47.716,1,0,12.5
